Time,Temperature,NO2,CO,O3,SO2,Humidity,Shunt Voltage,Bus Voltage,Current,Power,Shunt Voltage1,Bus Voltage1,Current1,Power1,PM 10
2016-10-29 19:05:58.973466,23.1,310.52299477208663,-1099.9288114949536,-1066.0151649247996,140.32631329362786,54.2,18.48,28.944,178,222,-0.01,2.308,-1,0,0.0
2016-10-29 19:06:01.280879,23.1,307.3197720174861,-1101.5911886155661,-1061.6403155058995,139.42304053562313,53.7,18.07,28.944,178,222,0.0,2.308,0,0,2.1895031929016113
2016-10-29 19:06:03.590687,23.1,306.2792573089516,-1098.464646441812,-1062.872739480131,138.96869974716589,53.2,17.68,29.968,181,225,0.0,0.26,-1,0,2.1801412105560303
2016-10-29 19:06:05.900206,23.1,307.6429352887375,-1098.2765619982265,-1063.8827134839098,137.5191362792302,52.8,17.92,27.92,176,219,0.0,2.308,-1,0,7.379863739013672
2016-10-29 19:06:08.210761,23.1,310.0932941586646,-1099.5700042487292,-1060.9371690475725,141.32153597310608,52.4,17.75,28.944,177,221,-0.01,2.308,-1,0,4.208890438079834
