Time,Temperature,NO2,CO,O3,SO2,Humidity,Shunt Voltage,Bus Voltage,Current,Power,Shunt Voltage1,Bus Voltage1,Current1,Power1,PM 10
<built-in function time>,21.3,0.5986572074142158,1.1640205960424712,1.1819760302561837,0.2298725669642857,55.7,18.0,24.848,180,223,-0.01,1.284,0,0,0.0013246623566374183
<built-in function time>,21.3,0.5986499234068624,1.1640262162162163,1.181968331492933,0.22987054966517856,55.7,17.57,25.872,175,217,-0.01,1.284,0,0,3.0646281242370605
<built-in function time>,21.3,0.5986642126225488,1.1640163748793437,1.1819817590547703,0.2298791601562499,55.6,17.28,25.872,174,221,-0.01,1.284,-1,0,2.192103862762451
<built-in function time>,21.3,0.5986509420955882,1.1640297623069498,1.181978942137809,0.22986872488839286,55.6,17.42,25.872,176,216,0.0,1.284,0,0,1.843235731124878
<built-in function time>,21.3,0.5986511672794116,1.164013988296332,1.1819844986749117,0.22986242187499986,55.6,17.66,25.872,178,221,-0.01,1.284,0,0,11.355204582214355
<built-in function time>,21.2,0.5986488434436275,1.1640264943291507,1.1819702672261485,0.22986101562500005,55.6,17.59,25.872,175,218,0.0,1.284,-1,0,3.1709766387939453
<built-in function time>,21.3,0.5986507352941175,1.1640174692326253,1.1819487345406363,0.22986535435267846,55.5,17.2,25.872,173,215,0.0,1.284,-1,0,5.327180862426758
<built-in function time>,21.3,0.5986585064338235,1.164033614261583,1.1819806658568905,0.22987921316964283,55.5,17.17,24.848,173,215,-0.01,2.308,-1,0,1.986527681350708
<built-in function time>,21.3,0.5986499172794117,1.1639967175434363,1.1819718639575971,0.2298735379464284,55.5,17.35,25.872,176,218,0.0,1.284,-1,0,2.384763479232788
<built-in function time>,21.3,0.5986399280024508,1.1640329180743243,1.1819696024734982,0.22986197265624986,55.5,17.41,25.872,179,222,0.0,1.284,-1,0,2.247953176498413
