Time,Temperature,NO2,CO,O3,SO2,Humidity,Shunt Voltage,Bus Voltage,Current,Power,Shunt Voltage1,Bus Voltage1,Current1,Power1,PM 10
2016-10-28 09:36:26.777627,31.0,0.6188775796568626,1.4412677968146719,1.170168339222615,0.5401040066964284,47.3,18.2,27.92,178,222,-0.01,0.26,-1,0,0.0
2016-10-28 09:36:29.112060,31.0,0.6188820098039215,1.4412712355212356,1.170169969081272,0.5401274441964288,47.2,18.25,28.944,183,228,-0.01,0.26,0,0,16.13211441040039
2016-10-28 09:36:31.451111,31.0,0.6188723988970588,1.4412676158301156,1.1701687632508835,0.5401141517857141,47.2,18.14,28.944,178,222,-0.01,0.26,0,0,12.110549926757812
2016-10-28 09:36:33.809612,31.1,0.6188817677696079,1.4412706925675676,1.1701647879858659,0.5401267410714287,47.2,17.57,28.944,182,226,-0.01,1.284,0,0,11.104101181030273
2016-10-28 09:36:36.144602,31.1,0.6188837132352941,1.4412696066602317,1.1701740636042404,0.5401183370535713,47.2,17.93,29.968,183,225,-0.01,32.0,-1,0,14.63361930847168
2016-10-28 09:36:38.488517,31.1,0.6188890594362744,1.4412681587837837,1.1701753886925794,0.5401172991071428,47.1,17.95,28.944,173,216,-0.01,0.26,-1,0,16.929080963134766
2016-10-28 09:36:40.834125,31.1,0.6188810294117646,1.4412638151544401,1.1701702738515902,0.5401133482142857,47.1,17.41,28.944,177,220,0.0,0.26,-1,0,56.025421142578125
2016-10-28 09:36:43.181786,31.1,0.6188764797794116,1.4412703305984556,1.1701743683745582,0.540118705357143,47.1,17.45,28.944,176,218,0.0,0.26,0,0,22.016746520996094
2016-10-28 09:36:45.526860,31.1,0.6188715379901959,1.4412699686293438,1.170162575088339,0.5401117075892856,47.1,17.650000000000002,28.944,173,216,-0.01,0.26,-1,0,61.86519241333008
2016-10-28 09:36:47.870899,31.1,0.6188848406862744,1.4412759411196912,1.1701732287985864,0.5401306584821427,47.1,17.72,28.944,178,222,-0.01,0.26,0,0,23.029653549194336
2016-10-28 09:36:50.214175,31.1,0.6188893137254899,1.4412753981660233,1.1701646289752652,0.5401176674107142,47.1,17.48,28.944,176,219,-0.01,1.284,-1,0,12.57460880279541
2016-10-28 09:36:52.552242,31.2,0.6188875214460785,1.4412802847490347,1.1701711219081272,0.5401214174107145,47.1,17.29,28.944,173,216,-0.01,1.284,-1,0,27.599044799804688
2016-10-28 09:36:54.907439,31.2,0.6188934558823527,1.441278112934363,1.1701652915194345,0.5401176004464288,47.1,17.41,27.92,175,218,0.0,1.284,-1,0,27.198078155517578
2016-10-28 09:36:57.249896,31.2,0.6188927634803921,1.441278293918919,1.1701687234982332,0.5401225223214287,47.1,17.22,28.944,174,217,-0.01,1.284,0,0,41.69557189941406
2016-10-28 09:36:59.591610,31.2,0.6188877144607844,1.4412750361969113,1.1701692005300353,0.5401126116071429,47.1,17.18,29.968,173,215,-0.01,1.284,0,0,34.58354949951172
2016-10-28 09:37:01.930467,31.2,0.6188793841911764,1.4412788368725868,1.170170472614841,0.5401309598214284,47.2,17.66,29.968,175,220,0.0,0.26,-1,0,34.80352783203125
2016-10-28 09:37:04.275393,31.2,0.6188764154411763,1.4412755791505794,1.170170711130742,0.540119341517857,47.2,17.76,28.944,173,215,-0.01,1.284,0,0,42.93677520751953
2016-10-28 09:37:06.614164,31.2,0.6188803952205882,1.441278293918919,1.1701758922261485,0.54012546875,47.2,17.21,29.968,171,214,0.0,1.284,-1,0,21.612415313720703
2016-10-28 09:37:08.960353,31.2,0.6188812683823528,1.4412837234555984,1.1701744346289753,0.540119877232143,47.2,17.32,28.944,176,219,-0.01,1.284,-1,0,47.666404724121094
2016-10-28 09:37:11.305207,31.3,0.6188628890931374,1.4412837234555984,1.170169147526502,0.5401252343750003,47.1,17.61,29.968,172,215,-0.01,1.284,0,0,41.202667236328125
2016-10-28 09:37:13.640464,31.3,0.6188807261029411,1.4412886100386102,1.1701760114840989,0.5401270424107145,47.1,17.330000000000002,28.944,178,222,0.0,0.26,0,0,26.5926513671875
2016-10-28 09:37:15.991836,31.3,0.6188738694852941,1.4412849903474902,1.1701819743816253,0.5401221875000001,47.1,17.52,29.968,170,212,-0.01,0.26,-1,0,90.3927001953125
2016-10-28 09:37:18.336101,31.3,0.6188722273284314,1.4412849903474905,1.1701751766784454,0.5401152566964285,47.1,17.14,28.944,172,214,-0.01,0.26,-1,0,18.25799560546875
2016-10-28 09:37:20.680327,31.3,0.6188757077205881,1.44128861003861,1.1701804107773852,0.5401234598214285,47.1,17.48,29.968,169,212,-0.01,0.26,0,0,11.613462448120117
2016-10-28 09:37:23.024473,31.3,0.6188888143382352,1.4412896959459458,1.170173440812721,0.5401354799107141,47.1,17.51,28.944,174,217,0.0,0.26,-1,0,17.23193359375
2016-10-28 09:37:25.366561,31.3,0.618867104779412,1.4412915057915057,1.1701833657243816,0.5401207812500001,47.0,17.18,28.944,173,216,-0.01,0.26,-1,0,26.131816864013672
2016-10-28 09:37:27.711323,31.3,0.6188773805147059,1.4412931346525097,1.170179695229682,0.5401288504464288,47.0,17.54,30.992,172,214,-0.01,0.26,-1,0,70.04440307617188
2016-10-28 09:37:30.051526,31.3,0.6188668167892157,1.4412846283783785,1.170179761484099,0.5401184040178569,47.0,17.3,28.944,170,212,0.0,0.26,0,0,44.089202880859375
2016-10-28 09:37:32.395570,31.3,0.6188646170343137,1.4412862572393823,1.1701789796819788,0.5401180357142857,47.0,17.14,29.968,172,214,-0.01,32.0,-1,0,25.04500389099121
2016-10-28 09:37:34.738567,31.3,0.6188721200980392,1.4412951254826254,1.1701841607773853,0.5401188727678571,47.0,17.61,29.968,170,213,-0.01,0.26,0,0,10.397491455078125
2016-10-28 09:37:37.095606,31.3,0.6188614093137255,1.441300374034749,1.1701868639575972,0.5401227566964284,47.0,17.38,29.968,169,210,-0.01,1.284,-1,0,8.469443321228027
2016-10-28 09:37:39.451799,31.4,0.6188781770833333,1.4412945825289576,1.1701789929328623,0.5401346093749999,47.0,17.06,28.944,172,214,0.0,1.284,0,0,69.47727966308594
2016-10-28 09:37:41.795174,31.4,0.6188624172794116,1.4412963923745175,1.1701863869257951,0.540120078125,47.0,16.87,29.968,169,210,-0.01,32.0,0,0,38.292991638183594
2016-10-28 09:37:44.139080,31.4,0.6188676470588234,1.4412994691119692,1.17017996024735,0.5401364843749998,47.0,17.16,29.968,173,216,-0.01,0.26,-1,0,23.126693725585938
2016-10-28 09:37:46.484056,31.4,0.6188573406862744,1.4413047176640925,1.1701885600706714,0.5401253683035713,47.0,16.95,28.944,170,212,-0.01,0.26,0,0,16.068866729736328
2016-10-28 09:37:48.828883,31.4,0.6188584405637255,1.441298383204633,1.1701853136042402,0.5401230580357145,47.0,17.14,30.992,168,209,-0.01,1.284,0,0,14.214799880981445
2016-10-28 09:37:51.168926,31.4,0.6188610171568626,1.4413047176640925,1.1701874867491167,0.5401377566964284,47.1,17.14,28.944,170,212,0.0,1.284,-1,0,18.603395462036133
2016-10-28 09:37:53.517001,31.4,0.6188515992647057,1.4412967543436292,1.1701867049469965,0.5401194084821427,47.0,17.44,29.968,173,215,0.0,32.0,0,0,26.06136703491211
2016-10-28 09:37:55.860959,31.4,0.6188598713235293,1.4413030888030887,1.1701894743816255,0.540134642857143,47.0,16.990000000000002,29.968,170,212,-0.01,0.26,-1,0,26.662813186645508
2016-10-28 09:37:58.204673,31.4,0.6188456954656861,1.4413108711389961,1.1701935026501769,0.5401323995535713,47.0,17.31,29.968,171,213,-0.01,0.26,0,0,17.970365524291992
2016-10-28 09:38:00.546552,31.4,0.6188467034313725,1.441300193050193,1.1701885733215547,0.5401225558035713,47.0,17.19,29.968,172,214,-0.01,0.26,-1,0,12.211162567138672
2016-10-28 09:38:02.890401,31.5,0.6188566145833332,1.4413029078185327,1.1701888780918726,0.5401280803571429,47.0,17.36,28.944,167,209,-0.01,0.26,-1,0,31.551599502563477
2016-10-28 09:38:05.235364,31.5,0.6188605790441176,1.4413092422779923,1.1701880962897528,0.5401371205357143,47.1,16.98,29.968,171,214,-0.01,0.26,0,0,19.052289962768555
2016-10-28 09:38:07.581141,31.5,0.6188598100490195,1.4413079753861002,1.1701946024734982,0.5401315290178571,47.1,16.91,28.944,170,213,-0.01,0.26,-1,0,14.460038185119629
2016-10-28 09:38:09.932472,31.5,0.6188504534313725,1.4413097852316603,1.1701957420494702,0.5401322656249998,47.1,17.19,29.968,173,216,-0.01,0.26,-1,0,40.310428619384766
2016-10-28 09:38:12.281944,31.5,0.6188350428921565,1.4413137668918918,1.17019273409894,0.540124296875,47.1,17.22,29.968,167,209,-0.01,0.26,-1,0,31.835216522216797
2016-10-28 09:38:14.627135,31.5,0.6188570526960783,1.4413141288610039,1.1701937014134276,0.5401396651785713,47.1,17.28,29.968,172,215,0.0,1.284,-1,0,101.36036682128906
2016-10-28 09:38:16.972733,31.5,0.6188451225490194,1.4413146718146719,1.170196351590106,0.5401317633928571,47.1,17.34,29.968,171,213,0.0,32.0,-1,0,68.9501953125
2016-10-28 09:38:19.310235,31.5,0.6188484344362746,1.4413188344594594,1.1701933436395762,0.5401354129464284,47.2,17.14,29.968,167,209,-0.01,0.26,-1,0,48.73808670043945
2016-10-28 09:38:21.659039,31.5,0.6188389889705881,1.4413220921814671,1.1702000883392225,0.5401242299107141,47.2,16.84,29.968,171,213,-0.01,0.26,0,0,41.75340270996094
2016-10-28 09:38:24.011692,31.5,0.6188268933823529,1.4413186534749034,1.1701975044169612,0.5401440848214286,47.2,17.17,28.944,172,214,-0.01,0.26,0,0,29.626379013061523
2016-10-28 09:38:26.351888,31.5,0.6188473192401961,1.4413206443050193,1.170197027385159,0.5401414732142856,47.3,17.01,29.968,170,213,-0.01,0.26,-1,0,20.469226837158203
2016-10-28 09:38:28.690969,31.6,0.6188382199754903,1.4413197393822392,1.1702005123674912,0.5401279129464285,47.3,16.92,29.968,170,213,-0.01,1.284,0,0,13.047941207885742
2016-10-28 09:38:31.039475,31.6,0.618844638480392,1.4413206443050193,1.1702021422261486,0.5401393973214285,47.2,16.98,30.992,168,209,-0.01,0.26,-1,0,49.51628875732422
2016-10-28 09:38:33.384630,31.6,0.6188309129901959,1.4413217302123553,1.1701975706713783,0.5401279129464285,47.2,17.3,29.968,169,211,0.0,0.26,-1,0,23.556846618652344
2016-10-28 09:38:35.726541,31.6,0.6188351011029412,1.4413266167953669,1.1701999160777388,0.5401350781250001,47.1,16.78,29.968,168,214,-0.01,0.26,-1,0,10.501596450805664
2016-10-28 09:38:38.072544,31.6,0.6188417279411761,1.4413190154440154,1.1701961925795052,0.5401396986607141,47.2,17.150000000000002,29.968,171,214,-0.01,1.284,-1,0,54.029815673828125
2016-10-28 09:38:40.416839,31.6,0.6188373437499998,1.4413273407335907,1.1702038383392228,0.5401261383928573,47.2,17.01,29.968,171,213,-0.01,1.284,-1,0,11.17383861541748
2016-10-28 09:38:42.766156,31.6,0.6188312591911765,1.4413311414092664,1.170202871024735,0.5401317299107142,47.2,17.11,29.968,168,209,-0.01,0.26,0,0,85.9351806640625
2016-10-28 09:38:45.116557,31.6,0.6188358823529411,1.4413271597490347,1.1702054019434631,0.54013390625,47.2,17.080000000000002,29.968,172,210,0.0,0.26,-1,0,19.964139938354492
2016-10-28 09:38:47.467027,31.6,0.6188167677696077,1.441327340733591,1.170205163427562,0.5401418080357144,47.2,16.91,29.968,168,210,0.0,0.26,0,0,13.448650360107422
2016-10-28 09:38:49.801982,31.6,0.6188336090686273,1.441327340733591,1.1702015591872792,0.5401487388392857,47.2,17.05,30.992,167,209,0.0,1.284,-1,0,17.592288970947266
2016-10-28 09:38:52.146080,31.6,0.6188360477941174,1.4413356660231662,1.1702047393992934,0.5401388281249999,47.1,16.82,29.968,173,216,-0.01,32.0,0,0,27.28240203857422
2016-10-28 09:38:54.492658,31.7,0.6188309712009804,1.4413338561776061,1.1702115503533568,0.540134810267857,47.1,17.25,29.968,172,214,-0.01,0.26,-1,0,38.295166015625
2016-10-28 09:38:56.835536,31.7,0.6188358517156861,1.4413322273166025,1.1702096289752648,0.5401433147321427,47.2,16.88,28.944,171,213,0.0,1.284,-1,0,43.969093322753906
2016-10-28 09:38:59.177494,31.7,0.6188325245098039,1.4413320463320463,1.1702045803886927,0.5401495089285715,47.3,17.09,29.968,168,211,-0.01,1.284,-1,0,106.56187438964844
2016-10-28 09:39:01.521188,31.7,0.6188127573529411,1.4413410955598456,1.1702119213780922,0.5401324330357143,47.3,17.41,29.968,170,212,0.0,0.26,0,0,52.99298858642578
