Time,Temperature,NO2,CO,O3,SO2,Humidity,Shunt Voltage,Bus Voltage,Current,Power,Shunt Voltage1,Bus Voltage1,Current1,Power1,PM 10
2016-10-24 18:17:01.648820,23.9,0.5808281801470586,1.164911570945946,1.182690437279152,0.22972597656249982,53.5,17.64,25.872,179,223,-0.01,0.26,-1,0,0.0
2016-10-24 18:17:04.073496,23.9,0.584321844362745,1.164910847007722,1.1826918816254417,0.22970954799107152,53.1,18.29,26.896,183,227,-0.01,1.284,0,0,45.32896423339844
2016-10-24 18:17:06.479462,23.9,0.5867610049019606,1.164910847007722,1.1826912190812722,0.22970314732142855,52.8,17.62,25.872,178,222,-0.01,1.284,-1,0,1.2632734775543213
2016-10-24 18:17:08.888288,23.9,0.5885785723039213,1.164910847007722,1.182691762367491,0.22968714843749996,52.7,17.55,26.896,178,221,-0.01,1.284,0,0,5.569115161895752
2016-10-24 18:17:11.347903,23.9,0.5899467248774509,1.1649115926640927,1.1827304549469966,0.22968009486607133,52.6,17.87,26.896,173,218,0.0,32.0,-1,0,18.495622634887695
2016-10-24 18:17:13.763466,23.9,0.5910018903186272,1.164910847007722,1.1828076148409894,0.22968114397321426,52.5,17.85,26.896,176,214,-0.01,1.284,0,0,2.2171690464019775
2016-10-24 18:17:16.229646,23.9,0.5918392984068626,1.1649115492277993,1.1828702418286219,0.22968178850446444,52.6,17.57,25.872,173,216,0.0,1.284,-1,0,0.7332547903060913
2016-10-24 18:17:18.665925,23.9,0.5925182965686275,1.1649108687258687,1.1829144699646643,0.2296702706473212,52.6,17.67,25.872,175,217,-0.01,0.26,-1,0,1.3742084503173828
2016-10-24 18:17:21.092251,23.9,0.5930709497549019,1.1649115926640927,1.1829514564929327,0.22967968749999984,52.6,17.14,25.872,172,215,0.0,2.308,-1,0,5.645813465118408
2016-10-24 18:17:23.522090,23.9,0.5935220649509804,1.1649115926640927,1.1829832784893992,0.22967448939732144,52.5,17.29,25.872,170,212,0.0,1.284,0,0,4.345144271850586
2016-10-24 18:17:25.946540,23.9,0.5939122457107845,1.164910847007722,1.183008753312721,0.22969196149553567,52.4,17.580000000000002,26.896,173,214,-0.01,0.26,0,0,2.287198543548584
2016-10-24 18:17:28.374417,23.9,0.5942261397058823,1.1649108687258687,1.1830334827738518,0.2296782477678572,52.4,17.21,26.896,177,216,0.0,2.308,-1,0,1.227056860923767
2016-10-24 18:17:30.816276,23.9,0.5945293504901961,1.164910847007722,1.1830544787985866,0.22968658761160685,52.4,17.13,26.896,172,214,0.0,1.284,-1,0,1.5726217031478882
2016-10-24 18:17:33.237652,23.9,0.5947767922794118,1.1649122948841697,1.1830734143109543,0.22968594308035709,52.3,16.990000000000002,26.896,172,214,0.0,1.284,0,0,1.5575153827667236
2016-10-24 18:17:35.670270,23.9,0.5949683486519607,1.1649123166023165,1.1830895671378092,0.22970146763392854,52.4,17.11,25.872,172,214,0.0,1.284,0,0,2.112515687942505
2016-10-24 18:17:38.100831,23.9,0.5951704748774509,1.164910847007722,1.1831035335689046,0.22970029575892853,52.3,17.79,26.896,173,216,0.0,2.308,-1,0,3.2696609497070312
2016-10-24 18:17:40.529542,23.9,0.5953406280637256,1.1649115926640927,1.183116062279152,0.22969542968749984,52.2,17.19,26.896,169,212,0.0,1.284,0,0,1.8400678634643555
2016-10-24 18:17:42.968396,23.9,0.5954957843137254,1.1649115926640927,1.1831313471731448,0.22969215959821412,52.2,17.39,26.896,172,214,-0.01,0.26,0,0,3.3419876098632812
2016-10-24 18:17:45.395041,23.9,0.5956229258578433,1.164911570945946,1.1831503953180214,0.22970522321428544,52.3,17.41,27.92,169,210,-0.01,2.308,-1,0,6.744072914123535
2016-10-24 18:17:47.817114,23.9,0.5957297028186272,1.164913742760618,1.183162983657244,0.22970537667410704,52.3,17.73,26.896,173,212,0.0,1.284,-1,0,1.4574347734451294
2016-10-24 18:17:50.245790,23.9,0.5958630269607842,1.1649137644787646,1.183176645318021,0.22969388392857115,52.5,17.07,26.896,171,213,-0.01,1.284,0,0,1.5685856342315674
2016-10-24 18:17:52.665478,23.9,0.5959587162990195,1.164913742760618,1.1831915724381625,0.22970862723214286,52.7,17.28,26.896,171,214,0.0,1.284,0,0,2.0265135765075684
2016-10-24 18:17:55.087863,23.9,0.5960737622549018,1.1649130405405403,1.1832012787102473,0.22970354631696413,52.6,17.14,27.92,172,214,-0.01,2.308,-1,0,1.3966519832611084
2016-10-24 18:17:57.512614,23.9,0.5961593811274508,1.164913018822394,1.1832152053886924,0.22970773437500003,52.4,16.9,26.896,171,212,0.0,1.284,0,0,1.6909770965576172
2016-10-24 18:17:59.939495,23.9,0.5962202175245096,1.164913742760618,1.1832288869257952,0.22971466796874987,52.4,16.98,25.872,171,213,-0.01,1.284,-1,0,1.422737956047058
2016-10-24 18:18:02.373136,23.9,0.5962816605392155,1.164914444980695,1.182571457597173,0.2297232645089285,52.4,17.330000000000002,26.896,168,209,-0.01,2.308,-1,0,2.2244458198547363
2016-10-24 18:18:04.794445,23.9,0.5963632751225493,1.164913742760618,1.181855761925795,0.22971503627232132,52.4,17.05,26.896,172,214,0.0,1.284,0,0,6.481637954711914
2016-10-24 18:18:07.215946,23.9,0.5964325949754901,1.1649130405405403,1.1813031051236749,0.2297102566964286,52.3,16.85,26.896,173,215,0.0,0.26,-1,0,3.2537381649017334
2016-10-24 18:18:09.637464,23.9,0.5964925949754902,1.1649144666988416,1.180838409893993,0.2297190541294642,52.3,17.080000000000002,26.896,169,210,-0.01,1.284,-1,0,10.424607276916504
