Time,Temperature,NO2,CO,O3,SO2,Humidity,Shunt Voltage,Bus Voltage,Current,Power,Shunt Voltage1,Bus Voltage1,Current1,Power1,PM 10
2016-10-29 07:55:05.028403,36.1,1227.3632038639516,-1570.860304223071,-1075.6853463989546,569.4817252817679,36.8,17.55,30.992,174,217,-0.01,0.26,0,0,20.904382705688477
2016-10-29 07:55:07.334912,36.1,1219.0177787272423,-1566.5488300547286,-1077.9993374709036,580.3534512912851,36.8,17.5,30.992,172,214,0.0,30.976,0,0,5.688897609710693
2016-10-29 07:55:09.646644,36.1,1223.9895213618777,-1568.5685676181533,-1078.2320150262042,570.4282685910542,36.8,17.48,32.016,172,214,-0.01,0.26,0,0,21.08599090576172
2016-10-29 07:55:11.957949,36.1,1225.5875814944388,-1565.7328329302504,-1075.127943024717,570.3471363074011,36.8,17.17,32.016,172,215,0.0,32.0,-1,0,10.315216064453125
2016-10-29 07:55:14.276746,36.1,1232.5125087355382,-1566.7976802416263,-1072.2130813429253,569.4817252817679,36.8,17.43,32.016,173,216,-0.01,32.0,-1,0,8.271282196044922
2016-10-29 07:55:16.588146,36.1,1237.306689133222,-1565.2061964882114,-1074.6088930936612,564.3433473170708,36.8,17.42,30.992,175,218,0.0,32.0,-1,0,11.0858154296875
2016-10-29 07:55:18.902621,36.1,1236.0637534745633,-1567.06389206947,-1071.8755710429284,567.1288890558277,36.8,17.3,32.016,174,218,-0.01,32.0,-1,0,4.717198848724365
2016-10-29 07:55:21.214477,36.1,1237.306689133222,-1566.4735962772943,-1070.770991879302,568.3458733106244,36.8,17.42,29.968,175,219,-0.01,0.26,-1,0,33.42235565185547
2016-10-29 07:55:23.534059,36.1,1235.7086290006607,-1564.4075610046793,-1066.155794216465,563.6672449532948,36.8,17.7,30.992,174,218,0.0,32.0,-1,0,16.607009887695312
2016-10-29 07:55:25.846416,36.1,1243.5213674265158,-1563.8519884943962,-1065.5191270596524,568.724490634339,36.8,17.25,32.016,177,220,0.0,0.26,0,0,12.677337646484375
2016-10-29 07:55:28.159010,36.1,1237.4842513701733,-1560.9757433109519,-1068.924912814167,568.6974465397878,36.8,17.31,30.992,175,218,-0.01,0.26,0,0,22.788909912109375
2016-10-29 07:55:30.474034,36.1,1240.5028093983444,-1561.2940400616349,-1071.760510713384,569.6980780381763,36.8,17.41,32.016,173,217,0.0,0.26,-1,0,17.179431915283203
2016-10-29 07:55:32.774589,36.1,1235.3535045267581,-1563.1922461384352,-1076.9893634671246,569.1031079580534,36.8,17.27,32.016,174,218,-0.01,32.0,-1,0,14.5396728515625
2016-10-29 07:55:35.103996,36.1,1229.671512944318,-1563.840414067099,-1082.558283417074,571.0232386711771,36.8,17.54,30.992,175,218,0.0,0.26,-1,0,68.13260650634766
2016-10-29 07:55:37.434126,36.1,1230.9144486029766,-1564.129774749538,-1089.0067756639855,566.1282575574392,36.8,17.28,30.992,175,218,0.0,32.0,-1,0,52.02383041381836
2016-10-29 07:55:39.744776,36.1,1225.9427059683414,-1561.9711440585422,-1104.0720081456675,570.2930481182991,36.8,17.43,32.016,171,214,-0.01,0.26,-1,0,11.839033126831055
2016-10-29 07:55:42.057923,36.1,1221.6812122815113,-1564.4770075684648,-1104.45298568127,568.075432365114,36.8,17.62,32.016,172,215,0.0,32.0,0,0,16.572975158691406
2016-10-29 07:55:44.372687,36.1,1224.1670835988289,-1562.4514827913913,-1104.082235730516,569.1301520526046,36.8,17.21,32.016,173,219,-0.01,0.26,0,0,76.29446411132812
2016-10-29 07:55:46.694156,36.1,1222.5690234662675,-1563.8577757080452,-1110.103726310007,568.3999614997265,36.8,17.29,30.992,176,219,0.0,32.0,0,0,24.19249153137207
2016-10-29 07:55:49.004527,36.1,1222.5690234662677,-1565.2930046929428,-1090.3465892791248,571.2936796166873,36.8,17.19,32.016,172,215,-0.01,32.0,-1,0,58.219688415527344
2016-10-29 07:55:51.318474,36.1,1230.0266374182204,-1562.6366736281523,-1070.144552307338,565.6955520446227,36.8,17.18,30.992,172,215,-0.01,0.26,-1,0,9.531335830688477
2016-10-29 07:55:53.629286,36.1,1237.4842513701733,-1564.0545409721037,-1064.5193806407224,568.102476459665,36.8,17.19,32.016,172,215,0.0,32.0,0,0,47.17972183227539
2016-10-29 07:55:55.935676,36.1,1245.4745520329795,-1563.4816068208743,-1061.8908913346856,568.3729174051755,36.8,17.43,32.016,176,220,-0.01,30.976,-1,0,16.7041015625
2016-10-29 07:55:58.248044,36.1,1244.4091786112722,-1563.5742022392549,-1062.1363533710469,568.9137992961962,36.8,17.27,30.992,176,219,-0.01,32.0,-1,0,10.828672409057617
2016-10-29 07:56:00.559402,36.1,1241.3906205831008,-1559.569450394298,-1059.8325898839464,568.4270055942775,36.8,17.490000000000002,32.016,175,218,-0.01,32.0,-1,0,4.814040184020996
2016-10-29 07:56:02.855048,36.1,1241.568182820052,-1563.9040734172354,-1061.2874638286303,571.1584591439321,36.8,17.21,32.016,173,217,-0.01,0.26,-1,0,6.885200023651123
2016-10-29 07:56:05.174385,36.1,1236.9515646593195,-1567.0812537104164,-1066.60069415737,574.9716764756286,36.8,17.43,30.992,176,219,0.0,32.0,-1,0,14.993342399597168
2016-10-29 07:56:07.497044,36.1,1237.1291268962707,-1563.620499948445,-1067.8075491694801,568.6433583506858,36.8,17.78,30.992,171,214,-0.01,0.26,-1,0,17.105491638183594
2016-10-29 07:56:09.809047,36.1,1239.9701226874909,-1561.4155715482593,-1068.2396646293248,569.5087693763189,36.8,17.43,32.016,175,218,-0.01,0.26,0,0,7.949492454528809
2016-10-29 07:56:12.118882,36.1,1239.9701226874909,-1565.049941719694,-1068.633426645988,570.8609741038708,36.8,17.150000000000002,30.992,174,218,-0.01,0.26,0,0,35.11939239501953
2016-10-29 07:56:14.444497,36.1,1236.0637534745633,-1562.8970982423473,-1066.7259820717627,566.9666244885216,36.8,17.150000000000002,32.016,172,218,0.0,0.26,-1,0,19.04410743713379
2016-10-29 07:56:16.756991,36.1,1239.2598737396859,-1564.650623977928,-1067.8203336505408,568.021344176012,36.8,17.25,32.016,174,215,-0.01,0.26,-1,0,11.413335800170898
2016-10-29 07:56:19.067879,36.1,1238.727187028832,-1564.129774749538,-1068.7050197399267,567.5345504740933,36.8,17.44,30.992,176,220,-0.01,0.26,-1,0,29.33000946044922
2016-10-29 07:56:21.377764,36.1,1234.2881311050508,-1563.255905488572,-1073.087539847463,569.2112843362576,36.8,17.150000000000002,30.992,174,218,-0.01,32.0,0,0,15.358904838562012
2016-10-29 07:56:23.689168,36.1,1240.857933872247,-1564.7547938236064,-1072.0647813626238,572.1590906423206,36.8,17.62,32.016,173,215,-0.01,32.0,0,0,80.91864013671875
2016-10-29 07:56:26.001145,36.1,1236.774002422368,-1566.4967451318894,-1070.1419954111257,572.2402229259737,36.8,17.580000000000002,32.016,174,215,-0.01,32.0,0,0,6.030151844024658
2016-10-29 07:56:28.314390,36.1,1236.9515646593193,-1564.4307098592744,-1069.8556230353709,571.9968260750145,36.8,17.42,32.016,175,218,-0.01,32.0,-1,0,29.46236801147461
