Time,Temperature,Humidity,NO2WE,NO2AE,COWE,COAE,O3WE,O3AE,SO2WE,SO2AE,PM 10,Shunt Voltage,Bus Voltage,Current,Power,Shunt Voltage1,Bus Voltage1,Current1,Power1
2016-11-04 14:26:59.547311,29.1,63.1,224.0625,223.875,410.25,325.875,255.375,258.75,373.125,360.9375,0.007206746377050877,0.0,28.928,0,0,0.0,29.952,0,0
2016-11-04 14:27:30.887283,29.0,63.3,221.25,217.5,446.8125,372.75,256.125,243.0,406.875,390.9375,88.470703125,0.0,27.904,0,0,0.0,29.952,-1,0
2016-11-04 14:28:02.216280,28.9,63.9,227.25,227.4375,423.1875,339.75,251.8125,255.0,379.6875,365.0625,88.90605163574219,0.0,28.928,0,0,0.0,29.952,-1,0
2016-11-04 14:28:33.535309,28.8,64.4,227.0625,229.3125,421.5,339.0,258.9375,254.8125,381.1875,364.125,90.16503143310547,-0.01,28.928,0,0,-0.01,30.976,-1,0
2016-11-04 14:29:04.871325,28.8,64.7,227.4375,227.625,417.9375,336.75,259.3125,254.0625,380.625,363.75,83.08451843261719,0.0,27.904,-1,0,0.0,29.952,-1,0
2016-11-04 14:29:36.191534,28.8,65.0,229.125,229.6875,420.5625,337.3125,259.125,255.375,378.5625,363.9375,77.34857177734375,0.0,27.904,0,0,0.0,29.952,-1,0
2016-11-04 14:30:07.502601,28.7,65.1,227.8125,228.5625,413.8125,334.3125,259.875,254.8125,380.4375,363.1875,75.0816879272461,0.0,27.904,0,0,-0.01,28.928,-1,0
2016-11-04 14:30:38.822069,28.7,65.3,227.625,228.5625,411.75,334.6875,259.125,251.8125,378.75,362.4375,90.0147933959961,0.0,28.928,0,0,-0.01,29.952,0,0
2016-11-04 14:31:10.144917,28.7,65.3,227.625,228.9375,410.25,333.9375,260.0625,251.8125,379.875,367.3125,83.97914123535156,0.0,27.904,0,0,0.0,29.952,-1,0
2016-11-04 14:31:41.485061,28.7,65.4,228.0,228.75,403.3125,332.625,259.125,252.0,379.6875,363.9375,84.56642150878906,0.0,27.904,0,0,-0.01,29.952,-1,0
2016-11-04 14:32:12.829956,28.7,65.4,228.75,228.9375,406.3125,331.6875,259.125,256.3125,379.3125,362.625,108.31536865234375,0.0,28.928,0,0,0.0,29.952,0,0
2016-11-04 14:32:44.166550,28.7,65.4,228.375,229.875,402.9375,331.3125,260.0625,255.375,377.625,363.1875,95.57536315917969,0.0,27.904,0,0,0.0,27.904,0,0
2016-11-04 14:33:15.495112,28.7,65.5,229.125,228.0,405.5625,332.4375,259.3125,256.6875,376.3125,364.125,86.89036560058594,0.0,27.904,0,0,-0.01,28.928,-1,0
2016-11-04 14:33:46.801562,28.7,65.5,228.9375,229.875,400.6875,328.875,260.4375,255.5625,379.3125,364.5,76.24545288085938,0.0,27.904,0,0,-0.01,28.928,0,0
2016-11-04 14:34:18.128649,28.7,65.5,229.5,231.0,401.8125,331.125,259.6875,255.75,376.125,364.125,95.71270751953125,0.0,28.928,0,0,-0.01,29.952,0,0
2016-11-04 14:34:49.441922,28.8,65.6,230.0625,229.875,403.5,330.75,260.8125,259.3125,379.5,366.0,78.3558120727539,0.0,27.904,0,0,0.0,29.952,-1,0
2016-11-04 14:35:20.744814,28.8,65.6,233.0625,233.625,407.625,335.25,261.1875,259.3125,379.3125,368.8125,72.25692749023438,0.0,28.928,0,0,-0.01,29.952,0,0
2016-11-04 14:35:52.067152,28.8,65.6,237.5625,239.4375,409.875,336.0,264.0,265.3125,386.4375,374.8125,96.86881256103516,0.01,26.88,0,0,-0.01,27.904,0,0
2016-11-04 14:36:23.398079,28.8,65.6,237.9375,237.9375,409.5,334.875,269.25,263.25,387.0,370.6875,83.26042175292969,0.0,27.904,0,0,0.0,29.952,-1,0
2016-11-04 14:36:54.711636,28.8,65.6,237.0,236.8125,408.375,337.875,267.75,264.375,384.75,370.875,77.9117660522461,0.0,27.904,0,0,0.0,29.952,0,0
2016-11-04 14:37:26.027232,28.8,65.7,235.5,234.9375,405.0,331.875,267.5625,262.125,383.625,369.375,83.4111328125,0.0,27.904,0,0,0.0,29.952,-1,0
2016-11-04 14:37:57.344523,28.9,65.7,234.75,235.875,403.875,329.25,264.9375,261.75,385.3125,368.8125,91.7081069946289,0.0,28.928,0,0,-0.01,29.952,-1,0
2016-11-04 14:38:28.665824,28.9,65.7,232.125,234.0,410.0625,333.5625,264.9375,260.25,383.25,366.5625,77.79781341552734,0.0,28.928,0,0,-0.01,28.928,-1,0
2016-11-04 14:38:59.984359,28.9,65.7,234.375,234.9375,407.625,333.375,263.625,260.625,382.125,365.4375,105.9635009765625,0.0,27.904,-1,0,0.0,27.904,-1,0
2016-11-04 14:39:31.324431,28.9,65.7,233.625,234.375,406.5,330.0,264.375,260.25,383.8125,368.625,81.07110595703125,0.0,27.904,0,0,0.0,28.928,-1,0
2016-11-04 14:40:02.646959,28.9,65.7,234.5625,235.6875,406.6875,329.8125,264.1875,261.0,384.1875,370.5,90.25883483886719,0.0,28.928,0,0,-0.01,28.928,-1,0
2016-11-04 14:40:33.954596,29.0,65.6,234.75,234.75,410.0625,332.8125,265.6875,263.25,386.625,368.25,84.23558044433594,0.0,28.928,0,0,0.0,29.952,-1,0
2016-11-04 14:41:05.290943,29.0,65.6,235.6875,237.0,412.3125,333.75,265.6875,262.875,387.75,372.1875,85.54997253417969,0.0,27.904,0,0,-0.01,29.952,-1,0
2016-11-04 14:41:36.616522,29.0,65.6,237.5625,237.5625,412.125,334.875,266.8125,264.75,389.0625,369.0,76.96427154541016,0.0,28.928,0,0,-0.01,29.952,-1,0
2016-11-04 14:42:07.944468,29.0,65.6,238.3125,239.0625,415.125,336.9375,267.5625,265.3125,389.4375,373.6875,90.49884796142578,0.0,27.904,0,0,-0.01,28.928,-1,0
2016-11-04 14:42:39.256066,29.0,65.5,239.25,239.625,417.75,337.5,269.25,267.1875,388.6875,372.0,84.80975341796875,-0.01,28.928,0,0,-0.01,28.928,0,0
2016-11-04 14:43:10.580272,29.0,65.5,238.3125,239.25,415.6875,335.4375,270.375,265.6875,390.75,369.9375,85.5567626953125,0.0,28.928,0,0,0.0,27.904,-1,0
2016-11-04 14:43:41.908400,29.1,65.5,238.125,238.875,414.75,336.5625,269.8125,263.8125,389.0625,372.5625,83.47538757324219,0.0,26.88,0,0,-0.01,28.928,-1,0
2016-11-04 14:44:13.239824,29.1,65.5,238.3125,238.125,420.9375,338.0625,268.6875,265.3125,391.3125,373.875,90.75080871582031,0.0,27.904,0,0,0.0,29.952,0,0
2016-11-04 14:44:44.542386,29.1,65.4,239.8125,240.5625,419.8125,337.875,268.875,267.375,389.625,375.375,91.28392791748047,-0.01,26.88,0,0,-0.01,28.928,-1,0
