Time,Temperature,NO2,CO,O3,SO2,Humidity,Shunt Voltage,Bus Voltage,Current,Power,Shunt Voltage1,Bus Voltage1,Current1,Power1,PM 10
2016-10-29 19:19:01.448818,23.0,-1618727.5757575748,8486749.423868313,7669349.163636363,-1256563.3846153833,53.2,18.400000000000002,26.896,181,225,-0.01,1.284,-1,0,0.0
2016-10-29 19:19:04.732071,23.0,-1489796.6666666665,8588912.386831276,7646811.854545454,-1208711.0769230758,53.4,17.46,26.896,180,224,-0.01,2.308,0,0,2.021343946456909
2016-10-29 19:19:08.042411,23.0,-1695993.0303030296,8457593.868312757,7679989.454545454,-1260285.2307692298,53.0,18.11,26.896,179,223,0.0,2.308,-1,0,7.160099983215332
2016-10-29 19:19:11.353407,23.0,-1610116.6666666658,8411324.238683129,7712077.89090909,-1272336.923076923,54.0,17.93,25.872,175,218,-0.01,2.308,-1,0,4.002341270446777
2016-10-29 19:19:14.655416,23.0,-1468851.212121211,8569238.312757201,7555992.363636362,-1164580.6153846146,54.0,17.44,26.896,175,218,-0.01,1.284,-1,0,2.260603666305542
