Time,Temperature,NO2,CO,O3,SO2,Humidity,Shunt Voltage,Bus Voltage,Current,Power,Shunt Voltage1,Bus Voltage1,Current1,Power1,PM 10
<built-in function time>,21.3,0.598639577205882,1.1640215673262546,1.1819799171819787,0.22985787667410712,55.6,17.07,25.872,171,213,-0.01,2.308,0,0,4.117587566375732
<built-in function time>,21.3,0.5986335248161763,1.1640197315395753,1.1819884363957598,0.22987549107142838,55.5,17.27,26.896,170,211,-0.01,3.332,0,0,5.287701606750488
<built-in function time>,21.3,0.5986420343137256,1.1640276876206563,1.181986199204947,0.22986717912946417,55.5,17.13,24.848,177,220,0.0,2.308,-1,0,2.0107381343841553
<built-in function time>,21.3,0.5986704289215686,1.1640037934362935,1.1819524282243816,0.22986369977678578,55.5,17.650000000000002,24.848,175,218,-0.01,2.308,0,0,2.2079966068267822
<built-in function time>,21.3,0.5986470511642157,1.1640408620897682,1.1819697151060071,0.22986411551339297,55.5,17.09,26.896,174,216,0.0,1.284,0,0,18.48358917236328
<built-in function time>,21.3,0.5986552313112746,1.164014033542471,1.18197570340106,0.22985998325892854,55.5,17.18,25.872,173,215,0.0,2.308,0,0,9.801358222961426
<built-in function time>,21.3,0.5986387162990192,1.164044934242278,1.1819863041077738,0.22986448939732124,55.4,17.16,25.872,173,215,-0.01,0.26,-1,0,2.452014684677124
<built-in function time>,21.3,0.5986457061887254,1.164027359435328,1.181984898409894,0.2298565680803571,55.4,17.55,26.896,173,210,-0.01,1.284,0,0,2.030925750732422
<built-in function time>,21.3,0.5986528324142155,1.1640231099179537,1.1819833535777384,0.2298678069196429,55.4,17.17,26.896,173,215,-0.01,1.284,-1,0,2.3344459533691406
<built-in function time>,21.3,0.5986537928921567,1.1640161999276062,1.1819739399293285,0.22986912388392844,55.4,17.330000000000002,24.848,173,215,0.0,2.308,-1,0,2.2335569858551025
<built-in function time>,21.3,0.5986583149509805,1.1640322140444015,1.1819881658568905,0.22987207589285694,55.4,17.2,24.848,174,216,-0.01,3.332,0,0,2.1592888832092285
<built-in function time>,21.3,0.5986504810049017,1.1640482094594595,1.1819993661660777,0.22987333984374994,55.4,17.52,25.872,175,214,-0.01,3.332,0,0,2.324613332748413
<built-in function time>,21.3,0.5986581816789216,1.1640316186052122,1.181961120803887,0.2298620814732142,55.4,17.29,25.872,171,214,-0.01,2.308,0,0,2.056607484817505
