Time,Temperature,Humidity,NO2WE,NO2AE,COWE,COAE,O3WE,O3AE,SO2WE,SO2AE,PM 10,Shunt Voltage,Bus Voltage,Current,Power,Shunt Voltage1,Bus Voltage1,Current1,Power1
2016-11-04 10:34:30.053363,31.6,56.4,220.3125,219.375,382.3125,324.75,253.125,247.875,389.625,363.1875,1.4259424006013433e-06,0.0,29.952,0,0,-0.01,29.952,0,0
2016-11-04 10:35:01.375667,31.6,56.5,222.0,220.125,381.9375,323.625,252.5625,246.375,389.25,363.9375,0.011819407343864441,0.0,27.904,0,0,-0.01,29.952,0,0
2016-11-04 10:35:32.696884,31.6,56.5,220.3125,220.3125,383.0625,322.5,252.75,249.9375,389.25,361.125,0.01016930676996708,0.0,29.952,0,0,-0.01,30.976,0,0
2016-11-04 10:36:04.022389,31.6,56.6,219.5625,218.8125,382.3125,320.25,253.6875,249.1875,387.0,361.5,0.01382595207542181,0.0,29.952,0,0,-0.01,30.976,0,0
2016-11-04 10:36:35.353469,31.6,56.6,220.875,220.5,393.0,325.3125,252.75,257.25,383.625,361.875,0.024870524182915688,0.0,28.928,0,0,-0.01,30.976,-1,0
2016-11-04 10:37:06.672331,31.6,56.6,220.6875,221.0625,386.4375,322.125,255.5625,255.5625,385.5,364.5,0.004160831216722727,0.0,28.928,0,0,-0.01,30.976,-1,0
2016-11-04 10:37:37.988463,31.6,56.7,220.6875,219.75,392.0625,320.25,253.3125,251.25,383.625,361.6875,0.012522800825536251,0.0,28.928,0,0,0.0,30.976,-1,0
2016-11-04 10:38:09.318867,31.6,56.7,220.3125,221.8125,388.3125,319.875,253.6875,256.875,386.8125,363.75,0.004244090989232063,0.0,29.952,0,0,-0.01,32.0,0,0
2016-11-04 10:38:40.647993,31.6,56.7,220.3125,220.3125,381.75,321.9375,253.5,252.0,387.5625,362.8125,0.012238388881087303,0.0,27.904,0,0,0.0,30.976,-1,0
2016-11-04 10:39:11.962073,31.6,56.8,220.875,221.25,382.3125,322.875,253.3125,248.0625,387.75,360.375,0.021070191636681557,0.01,27.904,0,0,-0.01,28.928,0,0
2016-11-04 10:39:43.302403,31.6,56.9,221.625,220.6875,384.0,323.8125,253.3125,245.8125,387.0,362.8125,0.01992606185376644,0.0,29.952,0,0,0.0,29.952,-1,0
2016-11-04 10:40:14.621589,31.6,57.0,220.875,220.5,380.8125,323.0625,253.5,248.0625,391.125,363.75,0.0008819311624392867,0.0,28.928,0,0,0.0,30.976,0,0
2016-11-04 10:40:45.932024,31.6,57.0,221.4375,221.4375,386.8125,324.375,252.9375,245.8125,389.25,363.375,0.00757216289639473,0.0,28.928,0,0,-0.01,30.976,-1,0
2016-11-04 10:41:17.241785,31.6,57.1,222.1875,222.0,387.1875,320.4375,246.9375,246.9375,390.1875,363.75,0.005006285849958658,0.0,28.928,0,0,0.0,29.952,-1,0
2016-11-04 10:41:48.570210,31.6,57.1,222.75,221.0625,390.75,322.6875,254.4375,247.6875,389.25,363.1875,0.01005183719098568,0.0,27.904,0,0,0.0,29.952,0,0
2016-11-04 10:42:19.881743,31.6,57.2,220.5,220.5,383.25,321.375,253.6875,248.0625,386.4375,362.0625,0.01458805426955223,0.01,28.928,0,0,0.0,30.976,-1,0
2016-11-04 10:42:51.211925,31.6,57.2,222.0,221.4375,384.0,322.125,253.6875,250.125,388.3125,363.1875,0.00906323827803135,0.0,27.904,-1,0,0.0,28.928,0,0
2016-11-04 10:43:22.542353,31.6,57.3,221.4375,221.4375,384.0,320.25,254.0625,254.4375,386.625,359.625,0.011783220805227757,0.0,29.952,0,0,0.0,30.976,0,0
2016-11-04 10:43:53.859132,31.6,57.3,221.4375,220.6875,397.125,322.875,254.25,254.4375,387.9375,363.375,0.008317619562149048,0.0,28.928,0,0,-0.01,30.976,-1,0
2016-11-04 10:44:25.185725,31.6,57.3,221.0625,221.0625,393.1875,322.6875,253.5,252.375,387.0,362.8125,0.0015396724920719862,0.0,29.952,0,0,0.0,29.952,-1,0
2016-11-04 10:44:56.491901,31.6,57.3,222.0,219.9375,385.5,321.0,253.6875,252.5625,384.375,360.375,0.009056690149009228,0.0,28.928,0,0,-0.01,30.976,-1,0
2016-11-04 10:45:27.815273,31.6,57.3,221.0625,220.125,385.875,318.0,254.4375,253.5,385.125,363.0,0.006039241794496775,0.0,29.952,0,0,-0.01,30.976,0,0
